Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua T 55;R$ 1.501.000;116-117;3;4;2
Rua T 53;R$ 679.000;67;2;2;1
;R$ 1.390.000;127;3;4;2
Rua 148;R$ 2.350.000;242-264;4;5-6;3
Rua 140;R$ 569.460;53;1;1;1
Rua 145;R$ 1.150.000;134;3;5;3
Rua 1124;R$ 1.490.000;126;3;4;2
Rua 1128;R$ 995.814;104;3;4;2
Rua 1128;R$ 1.750.000;166;3;5;3
Rua 135;R$ 1.990.000;179;3;4;3
Rua 143;R$ 949.750;114-115;3;2-4;2
Rua 1124;R$ 1.962.000;157;3;5;3
Rua 34;R$ 1.890.000;189;3;4;3
Rua 147;R$ 1.370.000;115;3;3;2
Rua 146;R$ 1.320.000;137;3;4;2
Rua 143;R$ 930.000;115;3;4;2
Rua 148;R$ 2.100.000;207;4;6;3
Rua 13;R$ 2.700.000;226;4;5;3
;R$ 2.400.000;225;4;5;3
Rua 1123;R$ 555.000;62;2;3;1
Rua Mário Bittar;R$ 899.000;100;3;2;2
Avenida 136;R$ 599.000;42;1;2;0
Rua 145;R$ 1.450.000;130;3;4;3
Rua 34-A;R$ 1.999.999;162;3;5;3
Rua 145;R$ 1.395.000;131;3;4;3
Rua 1123;R$ 550.000;62;2;3;1
Rua 24;R$ 729.399;66;2;2;1
Rua 1128;R$ 842.000;80;3;3;1
Rua 145;R$ 480.000;49;1;1;1
Rua 146;R$ 1.580.000;129;3;4;2
Rua 135;R$ 1.800.000;155;3;3;2
Rua 145;R$ 1.100.000;133;3;4;3
Rua 15;R$ 420.000;65;2;1;1
Rua 1124;R$ 1.650.000;125;3;1;2
Rua 146;R$ 1.350.000;139;3;5;2
Avenida Mutirão;R$ 1.400.000;135;3;1;3
Alameda Ricardo Paranhos;R$ 480.000;57;2;1;1
;R$ 840.796;84;3;4;2
Rua 1138;R$ 3.990.000;298;3;4;4
Rua 135;R$ 874.701;80;2;3;1
Rua 1124;R$ 1.624.990;125;3;4;2
Rua 135;R$ 846.000;77;2;2;1
Alameda Ricardo Paranhos;R$ 3.199.000;251;4;6;3
Rua 13;R$ 2.784.600;242;4;6;3
Rua 30;R$ 2.749.000;248;4;6;3
Rua 146;R$ 1.100.000;133;3;4;2
Avenida 136;R$ 587.839;49;1;2;1
Alameda Ricardo Paranhos;R$ 848.000;72;2;2;1
Rua 1141;R$ 2.190.000;177;3;4-5;3
Rua 145;R$ 1.080.000;130;3;4;3
Rua 28;R$ 911.748;77;2;3;1
;R$ 1.370.000;115;3;4;2
Rua 32;R$ 2.683.619;220;3;4;3
Alameda Coronel Eugênio Jardim;R$ 3.300.000;244;4;5;3
Rua 135;R$ 854.420;84;2;2;1
Rua Mário Bittar;R$ 1.080.000;99;3;4;2
Rua 38;R$ 1.300.000;129;3;4;2
Rua T 30;R$ 1.100.000;121;3;1;2
Rua 1128;R$ 1.100.000;116-120;3;3-4;2
Rua 137;R$ 750.000;73;2;3;1
Rua 1124;R$ 1.495.000;125;3;3;2
Rua 145;R$ 1.050.000;138;3;3;2
Rua 1124;R$ 1.490.000;125;3;4-5;2
Rua 146;R$ 1.260.000;137;3;4;2
Rua 1121;R$ 837.996;74;2;3;1
Rua 1141;R$ 680.000;71;2;3;1
Rua 135;R$ 1.350.000;121-123;3;3-4;2
Rua 143;R$ 930.000;115;3;7;2
Rua 42;R$ 1.150.000;135;3;4;2
;R$ 779.000;69;2;3;1
Rua 1125;R$ 3.380.000;266;4;6;3
Rua 137-A;R$ 799.990;86;2;3;2
Rua 146;R$ 1.240.000;140;3;4;2
Rua 146;R$ 1.500.000;140;3;4;2
Rua 148;R$ 2.700.000;218;3;5;3
Rua 1121;R$ 1.490.000;147;3;4;3
Rua 139;R$ 589.000;47;1;1;1
Alameda Ricardo Paranhos;R$ 988.000;121;3;4;2
;R$ 868.527;88;3;2;1
Rua 1141;R$ 1.199.000;111;3;4;1-2
Rua 146;R$ 1.400.000;140;3;4;0
Rua Mário Bittar;R$ 756.000;51;1;1;1
Alameda Coronel Eugênio Jardim;R$ 3.720.000;245;3;6;3
Rua 147;R$ 1.490.000;115;3;4;2
Rua 137;R$ 780.000;69;2;2;1
Rua Amélia Artiaga Jardim;R$ 750.000;72;2;2;0
Rua 38;R$ 1.160.000;129;3;4;2
Rua 145;R$ 990.000;133;3;5;3
Rua 22;R$ 332.000;38;1;1;1
Rua 148;R$ 2.999.990;218;3-4;5-6;3
Rua 1126;R$ 2.650.000;245;4;5;4
Avenida D;R$ 1.500.000;121;3;4;2
Rua 135;R$ 817.722;77;2;2;1
Rua Amélia Artiaga Jardim;R$ 1.230.000;116;3;4;2
Rua 1138;R$ 1.550.000;120;3;3;2
Rua 145;R$ 1.490.000;130;3;4;0
;R$ 1.100.000;116-117;3;4;2
Rua 28;R$ 718.256;64;2;2;1
Rua Mário Bittar;R$ 2.500.000;217;4;1-5;4
Rua 13;R$ 1.580.000;128;3;3;2
Rua 1141;R$ 1.220.000;111;3;4;2
Rua T 55;R$ 779.170;65;2;2;1
Rua 1141;R$ 1.235.000;111;3;4;2
Rua 145;R$ 1.099.900;138;3;4-5;2
Rua 1126;R$ 3.590.000;242;4;6;3
Alameda Ricardo Paranhos;R$ 370.000;69;2;2;1
Rua 1128;R$ 1.300.000;117;3;4;2
Rua 15;R$ 688.655;52;1;1;1
Rua 135;R$ 545.000;49;1;2;1
Rua 143;R$ 1.200.000;114;3;2;2
Rua 145;R$ 1.490.000;140;3;4;2
Rua 135;R$ 1.580.000;142;3;5;3
Rua 1141;R$ 4.474.202;349-355;4;5;4
;R$ 695.000;69;2;3;1
Rua 1128;R$ 450.000;80;3;4;2
Alameda Coronel Eugênio Jardim;R$ 3.299.990;244;4;6;3-4
Rua 1128;R$ 2.250.000;149;3;4-5;3
Rua Amélia Artiaga Jardim;R$ 699.999;72;2;3;2
Rua Mário Bittar;R$ 860.000;100;3;5;2
Rua 148;R$ 5.000.000;264;4;6;3
Rua 146;R$ 1.190.000;137;3;4;2
Rua 1141;R$ 820.000;80;2;2;1
Rua 146;R$ 1.560.000;137;3;4-5;2
Rua 1124;R$ 1.650.000;126;3;5;2
Rua 1141;R$ 2.730.000;221;4;5;3
Rua 1124;R$ 1.599.990;125;3;4;2
Rua 145;R$ 1.200.000;131;3;4;3
Rua 1121;R$ 1.084.000;121;3;4;2
Rua 1138;R$ 1.080.000;121;3;4;2
Rua 1122;R$ 650.000;72;2;3;1
;R$ 1.237.300;137;3;4;2
Rua 30;R$ 1.800.000;152;3;5;2
Rua 38;R$ 1.690.000;130;3;4;2
Rua 145;R$ 1.600.000;150;3;4;3
Rua 145;R$ 1.790.000;150;3;4;2
Rua 1128;R$ 380.220;81;1;1;1
;R$ 1.395.000;138;3;4;2
Rua 24;R$ 1.770.000;157;3;4;3
Rua R 16;R$ 450.000;84;3;2;2
Rua 1141;R$ 2.190.000;221;4;5;4
Rua 146;R$ 1.630.000;158;3;4;2
Rua 1124;R$ 1.920.000;154-158;3;1-4;2
Rua Amélia Artiaga Jardim;R$ 1.060.000;116;3;4;2
Rua 1141;R$ 1.180.000;120;3;4;2
Alameda Coronel Eugênio Jardim;R$ 2.300.000;228;4;6;4
Rua 15;R$ 2.350.000;184;3;4;1-3
Rua 1141;R$ 1.080.000;120;3;3;2
;R$ 1.863.857;158;3;5;2
;R$ 1.254.000;110;3;4;2
Rua 1123;R$ 485.850;45;1;1;1
Rua 146;R$ 1.749.647;160;3;4;2
Rua 1128;R$ 1.599.000;149;3;4;3
Rua 24;R$ 1.205.000;120;3;4;2
Rua 15;R$ 550.000;61;2;2;1
Rua 36;R$ 2.300.000;225;3;4;4
Rua 146;R$ 535.000;47;1;2;1
Rua 135;R$ 540.000;50;1;1;1
Rua Amélia Artiaga Jardim;R$ 795.000;72;2;3;1
Rua 135;R$ 1.999.990;150;3;4;2
Alameda Ricardo Paranhos;R$ 1.350.000;121;3;5;2
Rua 135;R$ 1.399.990;147;3;5;3
Rua 143;R$ 990.000;115;3;4;2
Rua 1124;R$ 1.600.000;125;3;3;2
Rua 1128;R$ 849.480;70;2;2;1
Rua Mário Bittar;R$ 890.000;99;3;4;2
Rua 1141;R$ 1.100.000;111;3;3;2
Rua 135;R$ 1.590.000;159;4;5;2
Rua 34-A;R$ 1.999.000;162;3;5;3
Rua 146;R$ 1.350.000;130;3;4;2
Rua 1128;R$ 1.100.000;118;3;4;2
Rua 145;R$ 1.899.000;150;3;1;2
Rua 1141;R$ 1.880.000;227;4;5;3
Rua Amélia Artiaga Jardim;R$ 2.980.000;265;4;5;4
Rua Mário Bittar;R$ 1.190.000;100;3;5;2
Rua 135;R$ 2.000.000;180;3;4;3
Rua 1128;R$ 845.000;71;2;2;1
Rua 146;R$ 597.500;96;2;1;1
Rua 139;R$ 588.000;49;1;2;0
Avenida D;R$ 1.517.825;124;3;4;2
Rua 1141;R$ 809.670;68;2;2;1
Rua 1141;R$ 640.000;70;2;3;1
Rua 146;R$ 1.400.000;140;3;1;2
Rua 15;R$ 1.266.870;126;3;3;2
Rua 1128;R$ 550.960;48;1;1;1
Rua 135;R$ 1.450.000;137;3;2;2
Rua 145;R$ 395.000;49;1;1;1
Rua 1141;R$ 3.200.000;256;4;6;3
Rua 146;R$ 3.490.000;270;4;6;3
Rua 1141;R$ 609.570;48;1;1;1
Rua 135;R$ 958.000;77;2;2;1
Rua Mário Bittar;R$ 2.160.000;218;3;4-5;3
Rua 135;R$ 1.350.000;121;3;4;2
Rua 1141;R$ 2.200.000;364;3;5;3
Rua 1141;R$ 1.095.000;111;3;4;2
Rua 135;R$ 2.120.000;179;3;4;0
;R$ 1.490.000;127;4;3;2
Rua 1141;R$ 674.364;71;3;2;1
Rua Amélia Artiaga Jardim;R$ 589.900;63;2;2;1
Rua Amélia Artiaga Jardim;R$ 1.080.000;120;3;4;2
Rua Amélia Artiaga Jardim;R$ 800.000;72;2;3;1
Rua 135;R$ 1.025.000;108;2;3;2
Rua 148;R$ 4.414.578;264;4;6;3
Rua 145;R$ 1.300.000;130;3;3;3
Rua 145;R$ 1.690.000;150;3;4;3
;R$ 1.050.000;104;3;4;2
;R$ 1.351.000;118;3;4;2
Rua 146;R$ 1.480.000;137;3;7;2
Rua 146;R$ 1.480.000;128;3;4;2
Alameda Coronel Joaquim de Bastos;R$ 1.013.000;75;2;3;0-2
Rua 138;R$ 823.030;76;2;2;1
Rua 1138;R$ 715.944;71;2;2;1
Rua Mário Bittar;R$ 880.000;100;3;5;2
Rua 1128;R$ 848.950;70;2;2;1
;R$ 2.190.000;218;4;5;3
Rua 1121;R$ 2.550.000;215;4;6;3
Rua Amélia Artiaga Jardim;R$ 840.000;73;2;3;1
Rua 1123;R$ 1.375.000;127;3;5;3
Alameda Coronel Joaquim de Bastos;R$ 779.066;55;1;1;1
Rua 135;R$ 1.490.000;160;3;4;3
Rua 135;R$ 600.000;52;1;1;1
Rua 143-A;R$ 1.232.000;106;3;3;2
Rua 1123;R$ 1.100.000;127;3;3;2
Rua T 53;R$ 690.000;70;2;2;2
Rua Amélia Artiaga Jardim;R$ 756.000;72;2;2;1
Rua 1128;R$ 409.147;80;3;2;1
Rua 24;R$ 820.000;83;3;3;1
Rua 1138;R$ 1.080.000;120;3;4;3
Rua 137-A;R$ 920.000;86;3;2;2
Rua 146;R$ 890.000;73;2;3;1
Rua 147;R$ 1.390.000;117;3;4;2
Rua 1126;R$ 3.854.850;244;4;6;3
Rua 145;R$ 1.150.000;130;3;5;3
Rua 1141;R$ 2.550.000;214;4;5;3
Rua 12;R$ 1.490.000;127;3;4;2
Rua 1128;R$ 550.000;49;1;1;1
Rua 135;R$ 595.000;50;1;1;1
Rua 146;R$ 1.649.990;159-175;4;4-6;2-3
Alameda Coronel Joaquim de Bastos;R$ 914.213;69;2;3;1
Rua Amélia Artiaga Jardim;R$ 925.000;116;3;4;0
;R$ 719.000;64;2;2;1
Rua 135;R$ 1.550.000;160;4;4;2
Rua 38;R$ 2.650.000;226;4;5;3
Rua 137-A;R$ 903.802;89;2;3;1
Rua 1138;R$ 1.350.000;122;3;4;2
Rua 147;R$ 945.000;115;3;4;2
Viela 1140;R$ 1.130.000;121;3;4;3
Rua 15;R$ 450.000;65;2;2;0
Rua 1128;R$ 1.025.000;105;3;4;2
Rua 24;R$ 890.038;83;3;2;1
Rua 138;R$ 682.000;69;2;2;2
Rua 1123;R$ 1.375.610;127;3;4;2
Rua 1141;R$ 499.000;38;1;1;1
Rua 1123;R$ 550.000;62;2;2;1
Rua 135;R$ 1.350.000;121;2;3;2
Rua 1138;R$ 1.880.000;194;3;4;3
Rua 1121;R$ 1.850.000;153;3;5;3
Rua Amélia Artiaga Jardim;R$ 900.000;84;3;4;2
Rua 1124;R$ 1.850.000;157;3;6;2
;R$ 2.700.000;225;4;5;3
Rua 146;R$ 1.200.000;97;3;5;2
Rua 146;R$ 1.650.000;129;3;4;2
Rua 135;R$ 1.399.909;122;3;4;2
;R$ 2.850.000;259;4;6;4
Rua 1138;R$ 860.000;78;2;3;1
Rua 145;R$ 1.050.000;130;3;5;3
Rua 24;R$ 761.702;52;3;2;1
Rua 1128;R$ 840.000;81;3;3;1
Rua 138;R$ 1.799.999;217-220;3-4;1-6;3-21
Rua Mário Bittar;R$ 879.000;99;3;4;2
Rua 148;R$ 980.000;115;3;5;2
Rua 145;R$ 1.250.000;139;3;5;2
Rua Amélia Artiaga Jardim;R$ 1.768.000;131-136;3;4;2
Rua 1141;R$ 690.000;71;2;3;1
Rua 148;R$ 1.950.000;242;4;1-6;3
Rua T 55;R$ 420.000;34;1;1;1
;R$ 480.000;50;1;1;1
Rua 1124;R$ 1.953.000;158;3;4;2
Rua 30;R$ 1.750.000;152;3;4;2
Rua 1128;R$ 960.000;104;3;4;2
Rua 1124;R$ 1.550.000;125;3;1-4;1-2
Rua 135;R$ 817.722;76;3;3;1
Rua 36;R$ 1.890.000;162;3;3;3
Rua 1124;R$ 1.620.000;157;3;1;2
Rua 42;R$ 1.230.000;134;3;5;2
Rua 1141;R$ 830.000;70;2;3;1
Rua 146;R$ 1.880.000;167;3;4;3
;R$ 2.100.000;229;4;5;3
Rua 138;R$ 698.000;69;2;2;1
Rua 1121;R$ 1.752.632;152-218;3-4;2-6;3-4
Alameda Ricardo Paranhos;R$ 3.500.000;200;3;4;3
Rua 24;R$ 755.182;82;2;3;1
Rua 146;R$ 1.290.000;130;3;4;2
Rua Mário Bittar;R$ 960.000;100;3;3;2
Rua 147;R$ 1.550.000;115;3;2;2
Rua 1128;R$ 1.600.000;104;3;4;2
Rua 1141;R$ 2.250.000;221;4;5;3
Rua 1123;R$ 339.900;70;2;2;1
Rua 42;R$ 1.230.000;132;3;4;2
Rua 145;R$ 1.410.000;139;3;5;2
Rua 135;R$ 1.410.000;121;3;4;2
Rua 143-A;R$ 1.277.000;106;3;3;2
Rua 27;R$ 1.490.000;147;3;4;3
Rua 1141;R$ 3.999.909;354-356;4;4-6;4
Rua 135;R$ 840.000;77;2;2;1
Rua 1138;R$ 1.290.000;121;3;4;2
Rua 1138;R$ 2.199.900;194;3;4;2
Rua 1141;R$ 415.000;38;1;1;1
Rua 146;R$ 1.400.000;140;3;4;2
Rua 135;R$ 1.350.000;122;3;4;0
Rua 146;R$ 1.250.000;96-99;2;1-3;1-2
;R$ 3.550.000;269;3;5;3
Rua 1141;R$ 2.050.000;227-228;4;5-6;3
Rua 146;R$ 1.390.000;133;3;3;2
Rua 1123;R$ 690.000;61;2;3;1
Rua 38;R$ 2.690.000;226;4;5;3
Rua;R$ 242.000;77;3;1;1
Rua 137-A;R$ 837.233;83;2;3;1
Rua 137-A;R$ 832.000;84;3;3;1
Avenida 136;R$ 520.000;49;1;1;1
Rua 1128;R$ 850.000;80;3;3;1
Alameda Coronel Eugênio Jardim;R$ 1.620.000;162;3;4;3
Rua 135;R$ 912.626;81;2;3;1
Rua 146;R$ 1.205.000;96;2;3;1
Rua 1123;R$ 1.364.000;110;3;4;2
Rua 135;R$ 1.300.000;122;3;3;2
Rua 30;R$ 1.982.118;172;3;5;2
Rua Mário Bittar;R$ 1.100.000;134;3;5;2
Rua 137-A;R$ 830.000;86;2;3;1
Rua;R$ 235.000;75;3;1;1
Rua 1141;R$ 1.078.000;120;3;4;2
Rua 137;R$ 1.026.000;92;2;2;1
Rua 139;R$ 670.990;48;1;1;1
Rua 146;R$ 1.777.242;171;4;4;2
Rua 1128;R$ 800.000;80;3;1;1
Rua 30;R$ 2.140.000;237;3;5;3
Alameda Ricardo Paranhos;R$ 706.253;82;3;1;2
;R$ 1.090.000;111;2;4;2
Rua 1141;R$ 2.000.000;198;4;4;3
Rua 36;R$ 1.836.050;162;3;5;3
Rua 1128;R$ 830.000;80;3;3;1
Rua 147;R$ 1.100.000;115;3;4;2
Rua 1125;R$ 1.890.000;171;3;5;2
Rua 1128;R$ 1.650.000;163;3;4;3
Rua 36;R$ 3.165.738;242;4;4;3
Rua 135;R$ 1.400.000;125;3;1;2
Rua 13;R$ 2.521.872;223;4;6;3
Rua 1128;R$ 1.100.000;116;3;5;2
Rua 146;R$ 1.260.000;138;3;4;2
;R$ 470.000;45;1;1;1
Rua 1141;R$ 419.000;38;1;1;0
Rua 13;R$ 2.599.000;233;3;4-5;3
Rua 145;R$ 990.000;130;3;3;0
Rua 34;R$ 1.820.000;185;3;3;3
Rua T 55;R$ 1.400.000;117;3;4;2
Rua 1123;R$ 1.450.000;127;3;4;2
Rua 1128;R$ 1.680.000;149;3;5;2
Alameda Coronel Eugênio Jardim;R$ 3.300.000;244;4;4;3
Rua 1141;R$ 1.900.000;227;4;4;2
Rua 38;R$ 2.570.000;226;4;5;3
Rua 15;R$ 475.000;40;1;1;1
Rua 24;R$ 744.286;66;2;2;1
Rua 1128;R$ 3.760.000;326;4;7;4
Rua 145;R$ 1.280.000;138;3;4;2
Rua 141;R$ 395.000;81;3;2;1
Rua 146;R$ 1.550.000;140;3;4;2
Rua 135;R$ 1.490.000;160;4;5;3
Rua 1141;R$ 899.000;71;2;2;1
Rua 146;R$ 1.560.000;138;3;3;2
Rua 1141;R$ 1.690.000;174;3;4;2
Rua 146;R$ 1.490.000;137;3;2;2
Rua 147;R$ 970.000;115;3;5;2
Avenida D;R$ 1.050.000;80;2;3;1
Rua 38;R$ 3.700.000;270;4;5;4
Rua 1128;R$ 545.188;48;1;1;1
Rua 1128;R$ 1.580.000;167;3;4;2
Rua 147;R$ 1.170.000;115;3;3;2
Rua 1128;R$ 2.115.990;149;3;4;2
Rua 135;R$ 1.470.000;160;4;6;2
Rua 38;R$ 1.480.000;138;3;4;2
Rua T 53;R$ 617.200;45;1;1;1
Rua 1141;R$ 2.950.000;224;4;5-6;3
Rua 145;R$ 1.490.000;140;3;5;2
Rua 139;R$ 250.000;69;3;1;1
Rua 1128;R$ 1.466.208;139;3;1;2
Rua 146;R$ 1.560.000;137-140;3;1-5;2-3
Rua 1141;R$ 1.290.000;121;3;4;2
Rua 1122;R$ 2.987.993;229;4;5;3
Rua 1138;R$ 3.750.000;287;4;5;4
Avenida D;R$ 570.680;45;1;1;1
Avenida 136;R$ 900.000;178;4;5;2
Rua 1128;R$ 1.049.000;105;3;4;2
Rua 1141;R$ 1.130.000;111;3;4;2
Rua 1126;R$ 3.990.000;245;4;6;4
Rua 1141;R$ 2.300.000;256;4;6;3
Rua 137-A;R$ 924.398;105;2;3;2
Rua 24;R$ 1.770.000;160;3;3;3
;R$ 1.250.000;130;3;5;3
Rua Amélia Artiaga Jardim;R$ 1.280.000;116;3;4;2
Rua 1141;R$ 1.290.000;118;3;4;2
Rua 1122;R$ 3.052.910;254;4;5;3
Rua 143;R$ 1.056.048;114;3;3;2
Rua 1123;R$ 379.000;62;2;2;1
Rua 148;R$ 2.000.000;208;3;4;3
Rua 1124;R$ 1.590.000;154;3;2;2
;R$ 948.000;116;3;4;2
Rua 1138;R$ 2.100.000;194;3;4;3
Rua 1121;R$ 1.245.000;116;2;3;2
Rua 24;R$ 1.790.000;160;3;5;3
Alameda Ricardo Paranhos;R$ 630.000;79;3;1;2
Rua 148;R$ 2.070.000;207-208;3;1-6;3
Rua 1124;R$ 1.700.000;157;3;3;2
Rua 1141;R$ 1.070.000;121;3;4;2
;R$ 268.000;19;1;1;1
Rua 38;R$ 1.390.000;136;3;4;2
Rua 147;R$ 1.368.000;115;3;4;2
Rua 135;R$ 1.890.000;182;3;3;3
Rua 22;R$ 400.000;38;1;1;1
Rua 146;R$ 1.500.000;140;3;3-4;2
Rua 148;R$ 1.370.000;115;3;4;2
;R$ 1.050.000;111;3;4;2
Rua 145;R$ 450.000;42-45;1;1;1
Alameda Coronel Joaquim de Bastos;R$ 1.127.254;89;2;3;2
Rua 1141;R$ 1.952.689;174;3;4;2
Rua 38;R$ 1.200.000;129;3;4;2
Rua 138;R$ 1.100.000;130;3;4;3
Rua 138;R$ 1.950.000;217;4;6;3
Rua 1141;R$ 2.750.000;221;4;6;3
Rua 135;R$ 1.400.000;121;3;4;2
Rua 139;R$ 588.000;47;1;1;0
Rua 1141;R$ 1.098.000;111;2-3;2-4;2
Avenida 136;R$ 550.413;42;1;1;1
Rua 1123;R$ 730.000;69;2;3;1
Rua 28;R$ 7.770.000;560;4;4;6
Rua 143;R$ 1.118.000;114;3;4;2
Rua Amélia Artiaga Jardim;R$ 949.000;116;3;4;2
Rua 1126;R$ 3.899.000;244;4;6;4
Rua 24;R$ 1.780.000;160;3;5;3
Rua Mário Bittar;R$ 1.049.990;100;3;4;2
Rua 1128;R$ 1.650.000;162-166;3;4;3
Rua 140;R$ 847.000;73;2;3;1
Rua 146;R$ 622.681;46;1;1;1
;R$ 1.863.857;157;3;5;3
Rua 135;R$ 866.000;77;2;2;1
Rua 38;R$ 1.290.000;136;3;3;2
Rua 146;R$ 1.249.998;130;3;4;0
Rua 146;R$ 1.150.000;132-142;3;5;2
;R$ 2.290.000;221;4;6;4
Avenida 136;R$ 645.000;48;1;2;1
Rua Mário Bittar;R$ 1.080.000;135;3;5;2
Rua 1128;R$ 1.650.000;167;3;5;3
Rua 1123;R$ 1.420.000;127;3;4;2
Rua 1138;R$ 3.199.900;259;4;5;3
Rua 1141;R$ 2.200.000;227;4;6;3
Rua 1128;R$ 1.775.520;162;3;4;3
Rua 147;R$ 1.060.000;115;3;5;4
Avenida Mutirão;R$ 1.540.000;140;3;3;2
Alameda Coronel Joaquim de Bastos;R$ 875.762;62;2;1;1
Rua 1125;R$ 2.199.999;200;4;6;3
Rua 24;R$ 1.780.000;160;3;4;3
Rua 1141;R$ 2.080.000;229;4;5;3
Rua 1128;R$ 1.926.932;116;3;4;2
;R$ 580.000;61;2;2;1
Rua 138;R$ 680.000;73;2;2;1
