Endereço;Preço;Área (m2);Quartos;Banheiros;Garagem
Rua 1141;R$ 3.600.000;435;3;5;4
Rua 1124;R$ 2.184.960;157;3;4;2
Rua Amélia Artiaga Jardim;R$ 1.900.000;265;4;1;4
Rua 38;R$ 2.550.000;226;4;5;3
Rua Amélia Artiaga Jardim;R$ 2.200.000;264;4;5;4
;R$ 5.951.000;414;4;6;4
Alameda Coronel Eugênio Jardim;R$ 3.300.000;244;3;4;3
Rua 1141;R$ 2.500.000;233;4;4;3
Rua 30;R$ 2.050.460;167;3;4;2
Rua 146;R$ 2.045.470;171;4;5;2
Rua 1138;R$ 2.700.000;294;3;4;4
Rua 1141;R$ 1.890.000;217;4;6;4
Rua 146;R$ 1.550.000;160;3;4;2
;R$ 3.106.000;206;4;6;4
Rua 148;R$ 3.023.480;221;4;5;4
Rua 147;R$ 1.320.000;115;3;4;2
Rua 1141;R$ 2.200.000;234;4;6;4
Rua 1129;R$ 4.200.000;284;4;4;4
Rua 1126;R$ 3.299.000;288;4;5;4
Rua 15;R$ 1.409.813;121;3;4;2
Rua 135;R$ 2.350.000;217;3;5;3
Rua 36;R$ 2.350.000;228;4;3;2
Rua Mário Bittar;R$ 1.650.000;176;4;6;3
;R$ 3.490.000;436;3;3;4
;R$ 989.000;105;3;4;2
Rua 1141;R$ 983.280;87;3;4;1
Rua 36;R$ 4.300.000;326;4;5;4
Rua 1121;R$ 1.479.580;147;3;4;2
Rua 1138;R$ 7.956.000;612;5;6;6
Rua 34;R$ 1.800.000;175;3;4;3
Rua 13;R$ 5.100.000;355;3;5;4
Rua 148;R$ 1.990.000;242;4;5-6;3
Rua 1128;R$ 1.639.390;149;3;4;2
Alameda Coronel Eugênio Jardim;R$ 3.299.999;240;3;6;4
Rua 145;R$ 370.000;31;1;1;1
Rua 145;R$ 455.000;42;1;1;1
Rua 1141;R$ 2.228.000;190;3;4;0
Rua 1141;R$ 2.520.562;299;3;4;4
Alameda Doutor Sebastião Fleury;R$ 6.000.000;411;4;6;5
Rua Amélia Artiaga Jardim;R$ 2.200.000;260;4;5;3
;R$ 2.200.000;208;3;1;3
Alameda Coronel Eugênio Jardim;R$ 4.985.000;359;4;6;4
Rua 13;R$ 2.500.000;233;3;5;3
Rua 1141;R$ 2.250.000;227;4;5;3
Rua Mário Bittar;R$ 899.000;100;3;4-5;2
Rua 1141;R$ 2.020.000;227;4;2;3
Rua 138;R$ 2.350.000;217;4;5;3
;R$ 4.200.000;245;4;4;3
;R$ 2.590.000;224;4;5;3
Rua 1141;R$ 2.199.000;256;4;1;3
Rua 1126;R$ 7.948.260;470;4;5;3
Avenida D;R$ 1.530.420;124;3;4;2
Rua 1128;R$ 1.550.000;162;3;5;3
;R$ 1.814.844;162;3;5;2
Rua 135;R$ 1.690.000;159;3;5;2
Alameda Coronel Eugênio Jardim;R$ 4.233.650;293;4;5;4
;R$ 3.036.524;299;4;6;4
Rua 34;R$ 1.670.000;175;3;4;3
Rua 148;R$ 4.305.000;287;4;5;4
Alameda Ricardo Paranhos;R$ 3.200.000;265;3;5;4
Rua 147;R$ 1.056.010;115;3;4;2
Rua 30;R$ 2.050.000;167-170;3;3-4;0-3
Rua 1141;R$ 2.620.000;261;4;6;4
Avenida Americano do Brasil;R$ 2.090.000;252;4;6;3
Rua 36;R$ 2.050.000;162;3;5;2
Rua 135;R$ 3.280.000;278;3;5;3
Rua T 53;R$ 4.393.008;262;3;4;3
Rua 148;R$ 4.299.990;326;4;6;4
Rua 138;R$ 2.170.630;217;4;4;3
Rua 32;R$ 2.655.000;290;4;6;3
Rua 145;R$ 1.350.000;162;3;4;2
Rua 13;R$ 2.257.250;198;3;4;3
Rua 1141;R$ 1.350.000;120;3;1;2
Rua 1141;R$ 2.400.000;261;4;5;4
Rua 1141;R$ 3.099.990;232;4;6;3
Rua 1141;R$ 1.290.000;111;3;5;2
Rua 135;R$ 3.280.000;278;3;4;3
Rua 25;R$ 1.750.000;158;3;4;3
Alameda Coronel Eugênio Jardim;R$ 4.850.000;499;6;6;4
Rua 135;R$ 2.268.000;217;4;5;3
Rua 1141;R$ 2.400.000;254;4;6;0
Rua 148;R$ 4.200.000;320;4;4;5
Rua 1141;R$ 820.000;72;2;1;1
Rua 1141;R$ 3.100.000;232;4;5;3
Rua 9;R$ 2.990.000;247;4;5;0
Rua 30;R$ 2.897.622;248;3;3;0
Rua 137-A;R$ 820.000;87;2;4;1
Rua 13;R$ 2.600.000;244;3;3;0
Rua 1128;R$ 1.670.000;167;3;5;3
Rua 148;R$ 5.800.000;323;4;6;4
Rua 146;R$ 1.230.000;126;3;4;2
Rua 1128;R$ 1.374.070;116;3;3;2
Alameda Coronel Eugênio Jardim;R$ 4.300.000;365;4;5;4
Avenida 136;R$ 2.000.000;420;4;7;4
Rua 28;R$ 4.999.000;561;4;7;5
Rua 34;R$ 2.100.000;170;3;2;0
Rua 145;R$ 1.350.000;165;3;4;2
Rua 145;R$ 1.835.000;150;3;4;2
;R$ 3.082.000;240;4;6;3
Rua 135;R$ 1.699.000;179;3;5;3
;R$ 3.014.157;260;4;4;2
Rua 1141;R$ 3.485.000;390;3;6;4
Rua 135;R$ 2.100.000;199;3;5;3
;R$ 2.310.000;217;4;5;3
;R$ 1.990.000;210;4;6;4
Rua 1133;R$ 1.580.000;145;3;4;3
Rua 138;R$ 2.172.780;217;4;5;3
Rua 36;R$ 2.300.000;225;4;6;4
Rua 145;R$ 1.395.000;131;3;2;3
Rua Amélia Artiaga Jardim;R$ 3.180.000;260;3;4;4
Rua 34;R$ 3.400.000;404;4;6;4
Alameda Coronel Eugênio Jardim;R$ 5.530.503;293;3;4;4
Rua 1141;R$ 2.420.070;256;4;6;3
Rua 1121;R$ 2.200.000;291;3;2;2
Rua 135;R$ 2.300.000;217;4;5;3
Rua 1127;R$ 3.425.610;265;3;4;3
Rua Amélia Artiaga Jardim;R$ 3.180.000;260;4;3;4
Rua 13;R$ 2.694.000;209;3;5;3
;R$ 2.500.000;217;4;6;3
;R$ 2.549.000;529;4;4;0
;R$ 2.273.000;227;4;5;3
Rua 135;R$ 2.200.000;182;3;5;3
Alameda Coronel Eugênio Jardim;R$ 4.090.000;300;3;4;4
Alameda Doutor Sebastião Fleury;R$ 6.000.000;412;4;1;5
Rua 23-A;R$ 2.000.000;328;4;4;4
Alameda Ricardo Paranhos;R$ 3.300.000;265;3;5;4
Rua 1123;R$ 930.000;87-90;3;2-4;0-2
Rua 38;R$ 4.238.640;353;4;5;0
Rua 1128;R$ 1.650.000;162;3;5;3
Rua 138;R$ 823.160;76;2;3;1
Rua 137-A;R$ 799.000;86;2;2;1
Rua 135;R$ 1.890.000;179;3;6;3
Rua 38;R$ 3.699.440;266;3;5;3
Rua 24;R$ 908.000;82;2;2;1
Rua 28;R$ 6.658.330;560;3;5;4
Rua 1123;R$ 945.000;90;3;2;2
Viela 1140;R$ 820.000;70;2;3;1
Rua 1138;R$ 3.184.210;259;4;6;4
Alameda Doutor Sebastião Fleury;R$ 7.137.439;411;4;5;4
Rua 148;R$ 1.950.000;242;3;4;3
Alameda Coronel Eugênio Jardim;R$ 5.012.794;354;3;5;4
Rua 138;R$ 1.900.000;218;4;6;3
Rua 1141;R$ 2.100.000;256;4;5;4
Rua 38;R$ 2.865.190;226;3;4;3
Rua 15;R$ 1.401.280;122;3;4;2
Rua 148;R$ 4.212.000;324;3;4;4
Alameda Coronel Eugênio Jardim;R$ 3.100.000;244;3;4;0
Rua 24;R$ 1.790.000;157;3;3;3
Rua 1141;R$ 2.300.000;227;4;5;3
Rua 135;R$ 2.700.000;184;3;5;0-3
Alameda Coronel Eugênio Jardim;R$ 3.710.881;266;4;4;4
;R$ 6.767.146;560;5;8;0
Rua 1141;R$ 3.289.740;227;3;4;3
Rua 36;R$ 7.500.000;404;4;2;4
Rua 145;R$ 1.750.000;150;3;4;2
Rua 1141;R$ 2.299.999;224;4;5-6;4
Alameda Coronel Eugênio Jardim;R$ 4.970.000;365;4;6;4
Rua 1141;R$ 2.280.000;227;3;1;3
Rua 148;R$ 2.150.000;242;4;4;3
Avenida D;R$ 1.260.360;106;3;4;2
Rua 1141;R$ 2.500.000;227;3;5;3
Rua 1128;R$ 1.359.360;116-120;3;4-5;2
Rua 148;R$ 4.500.000;323;3;5;4
Rua 24;R$ 1.780.000;160;3;3;3
Alameda Coronel Eugênio Jardim;R$ 5.387.859;412;3;5;4
Rua 138;R$ 823.740;76;2;3;1
Rua 34;R$ 1.890.000;212;4;5;3
Alameda Doutor Sebastião Fleury;R$ 5.750.000;411;4;6;5
Rua 1141;R$ 2.420.660;256;4;5;4
Rua 146;R$ 2.008.640;171;3;5;3
Avenida 136;R$ 750.053;74;2;3;1
Rua 148;R$ 3.650.000;411;4;5;4
Rua 1141;R$ 2.100.000;256;4;5;2
Rua 1141;R$ 3.599.780;344;4;6;4
Rua 24;R$ 1.890.000;160;3;3;3
Alameda Doutor Sebastião Fleury;R$ 6.000.000;412;4;4;0
Rua 1141;R$ 2.420.780;256;4;5;3
Rua 32;R$ 2.780.935;260;4;5;3
Rua 13;R$ 2.494.290;220;4;6;3
Rua 1138;R$ 3.200.710;259;4;6;4
Rua 1138;R$ 3.690.000;287;4;5;4
Avenida D;R$ 1.050.000;78;2;3;1
Rua 1141;R$ 3.304.548;333;3;3;4
Rua 32;R$ 2.834.000;260;4;5;3
Rua 135;R$ 1.499.990;159;4;4;2
Rua 1141;R$ 4.480.120;344;4;6;4
Alameda Doutor Sebastião Fleury;R$ 7.200.000;412;4;5;4
Avenida D;R$ 400.000;28;1;1;0
Rua 1141;R$ 2.350.000;256;4;4;3
Rua 148;R$ 3.650.000;411;4;5-7;4
Avenida T 9;R$ 2.650.000;500;5;6;4
Rua 38;R$ 6.903.480;484;4;5;6
Rua 1141;R$ 3.900.000;351;4;4;4
Rua 1121;R$ 2.860.000;254;4;1;3
;R$ 3.120.000;270;4;5;3
Rua 1141;R$ 990.000;72;2;1;1
Rua 1141;R$ 3.490.000;436;3;1;4
Rua 143;R$ 1.350.000;115;3;4;2
Rua T 53;R$ 989.060;79;2;2;1
Rua 1124;R$ 1.050.000;10;3;4;2
Rua 38;R$ 4.385.110;270;3;5;3
;R$ 2.419.000;260;4;6;3
Rua 1141;R$ 1.855.791;174;3;4;2
Rua 1141;R$ 2.050.000;254;4;6;3
Rua 1123;R$ 690.000;62;2;1;1
Avenida D;R$ 2.400.000;310;3;3;4
;R$ 7.524.000;684;4;6;5
Avenida D;R$ 865.710;79;2;3;1
Rua Amélia Artiaga Jardim;R$ 3.100.000;265;3;4;4
Rua 1124;R$ 2.162.258;158;3;4;3
Rua 1141;R$ 2.350.000;256;4;5;3
Rua 38;R$ 3.644.380;266;4;6;3
Rua 1141;R$ 2.290.000;264;4;5;5
Rua 1141;R$ 3.200.000;256;4;5;3-4
Rua T 53;R$ 8.954.160;544;4;6;6
Rua 135;R$ 2.200.000;182;3;4;0
Rua 1141;R$ 1.900.000;228;4;2;3
Rua 137;R$ 820.000;86;3;2;1
Rua 1138;R$ 2.271.180;194;3;4;3
Rua 38;R$ 2.990.000;226;4;5;3
Rua Amélia Artiaga Jardim;R$ 2.900.000;260;4;5;4
Alameda Doutor Sebastião Fleury;R$ 5.200.000;404;5;1;6
Rua T 53;R$ 8.609.423;509;4;5;5
Rua 1124;R$ 1.975.800;157;3;4;2
Rua 1138;R$ 2.270.720;194;3;4;3
Rua 1141;R$ 3.499.740;333;3;6;4
Rua 1123;R$ 790.000;73;2;3;0
Rua 1126;R$ 4.050.670;244;4;5;3
Rua 1141;R$ 3.950.000;299;3;1;4
Rua 1128;R$ 1.370.690;116;3;4;2
Rua 1124;R$ 2.500.000;182;3;8;3
Rua 148;R$ 3.613.200;200;4;1;3
Alameda Ricardo Paranhos;R$ 3.250.000;265;3;6;4
Rua 1141;R$ 4.803.000;354;4;1;4
;R$ 2.834.489;260;4;6;3
Rua 1141;R$ 1.149.740;111;2;3;2
Rua 148;R$ 3.900.000;320;4;6;6
Rua 24;R$ 847.550;82;2;3;1
Alameda Doutor Sebastião Fleury;R$ 6.000.000;412;4;4;5
Rua 1141;R$ 2.250.000;267;4;4;3
Alameda Ricardo Paranhos;R$ 3.200.000;265;4;6;0
Alameda Coronel Eugênio Jardim;R$ 4.220.730;293;4;6;4
Alameda Ricardo Paranhos;R$ 500.540;42;2;2;1
Rua T 53;R$ 8.728.938;538;4;6;6
Rua Amélia Artiaga Jardim;R$ 3.179.000;261;4;6;4
Rua 38;R$ 2.860.370;226;3;4;3
;R$ 7.103.000;411;3;5;4
Rua 135;R$ 1.550.000;159;5;5;0
Rua 38;R$ 4.244.770;269;3;5;3
Rua 1128;R$ 1.550.000;162;3;5;2
;R$ 1.900.000;160;3;4;3
Alameda Doutor Sebastião Fleury;R$ 6.990.000;411-412;4;5-6;4
;R$ 5.029.041;560;6;9;5
Rua 146;R$ 1.560.000;137;3;5;2
Rua 1126;R$ 4.019.980;244;3;3;3
Alameda Doutor Sebastião Fleury;R$ 7.040.000;412;4;4;4
Rua 1141;R$ 830.000;72;2;3;1
Rua 148;R$ 3.613.200;260;4;1;3
Rua Amélia Artiaga Jardim;R$ 2.499.999;265;4;6;4
Rua 147;R$ 1.370.000;115;3;6;2
Alameda Ricardo Paranhos;R$ 1.020.462;96;2;2;0
Avenida D;R$ 1.260.580;106;3;4;2
Rua 135;R$ 650.000;50;1;1;1
Rua 38;R$ 3.497.481;272;4;1;3
Rua 1126;R$ 8.035.000;471;4;7;3
Rua 1122;R$ 3.787.836;265;4;6;4
Rua 1141;R$ 2.500.000;256;4;5;4
Rua 146;R$ 3.600.000;271;4;5;0
Rua 1121;R$ 2.994.000;260;4;2;3
Rua 148;R$ 4.790.000;404;5;6;6
Rua 1138;R$ 3.289.300;259;4;4;0
Rua 139;R$ 2.100.000;242;4;1;3
Rua Mário Bittar;R$ 880.000;99;3;1;2
Rua 146;R$ 2.050.070;165;3;4;2
Rua 1138;R$ 3.990.000;298;3;4-5;4
Rua 1141;R$ 3.390.000;436;4;5;4
;R$ 3.493.000;267;4;6;3
Rua 135;R$ 1.250.000;120;3;4;2
Rua 1128;R$ 1.200.000;104;3;4;2
Rua 38;R$ 1.100.000;129;3;4;2
Rua Amélia Artiaga Jardim;R$ 2.980.000;260;3;5;4
Rua 1138;R$ 3.250.000;294;4;3;0
Rua 36;R$ 2.915.490;240;4;6;4
Rua 36;R$ 2.244.400;162;3;4;3
Rua 1123;R$ 1.210.660;110;3;4;2
Rua 145;R$ 335.000;32;1;1;1
Rua T 53;R$ 8.860.000;308;4;4;3
Rua 135;R$ 1.269.120;108;3;4;2
Rua 135;R$ 2.349.320;216;3;4;3
Avenida;R$ 1.100.000;226;4;2;6
Rua 1128;R$ 1.039.000;105;3;4;2
Rua 135;R$ 1.989.120;178;3;4;3
Rua 1128;R$ 1.790.650;149;3;4;3
Rua Amélia Artiaga Jardim;R$ 2.200.000;264;4;6;4
Rua 145;R$ 1.395.000;131;3;2;2
Rua 146;R$ 1.365.000;115;3;4;2
Rua 135A;R$ 1.990.000;178;3;4;3
Rua 1125;R$ 1.190.000;111;3;4;2
Rua 137-A;R$ 889.180;86;2;3;2
Rua 146;R$ 1.220.230;137;3;3;2
Rua 146;R$ 1.300.000;140;3;1;2
Rua 1141;R$ 2.500.000;233;4;6;3
Rua 135;R$ 1.450.000;122;3;3;2
Rua 1127;R$ 1.890.000;179;3;4;3
;R$ 6.300.000;412;4;5;5
Rua Amélia Artiaga Jardim;R$ 2.500.000;265;4;6;4
Rua 1136;R$ 460.000;46;1;1;1
Rua Amélia Artiaga Jardim;R$ 3.400.000;265;3;4;4
Rua 1141;R$ 3.199.030;299;3;5;4
Rua Amélia Artiaga Jardim;R$ 3.179.999;261;4;6;4
Rua T 55;R$ 842.330;79;2;3;1
Rua 1128;R$ 1.197.490;104;3;4;2
Rua 1124;R$ 2.185.070;157;3;4;2
Rua 138;R$ 2.211.730;217;4;6;3
Rua 32;R$ 2.759.020;220;3;4;3
Rua Mário Bittar;R$ 2.610.600;217;3;5;3
Rua 145;R$ 1.850.000;150;3;4;2
Rua 1128;R$ 2.000.000;167;3;4;2
Rua 143;R$ 1.300.000;127;3;4;2
Rua 1138;R$ 2.270.220;194;3;5;3
Rua 1123;R$ 1.490.000;127;3;4;2
Rua 145;R$ 1.950.000;153;3;3;2
Alameda Doutor Sebastião Fleury;R$ 7.000.000;412;4;6;4
Rua 38;R$ 3.716.000;270;3;5;3
Rua 145;R$ 1.750.000;150;3;3;2
Rua 1141;R$ 2.497.000;227;4;6;3
Rua 135;R$ 1.500.000;159;4;4;2
Rua 13;R$ 4.462.000;267;4;5;4
Rua 1128;R$ 1.669.730;167;3;4;3
Rua 13;R$ 2.639.400;207;3;4;3
Rua 36;R$ 2.350.000;225;4;4;3
Rua 32;R$ 2.844.230;260;4;6;3
;R$ 2.000.000;469;6;5;4
Alameda Doutor Sebastião Fleury;R$ 7.139.770;411;4;6;4
Rua 1123;R$ 1.400.000;113;3;5;2
Rua 1123;R$ 1.400.000;113;3;3;2
Rua 1141;R$ 3.036.523;299;3;4;4
Rua 145;R$ 1.730.000;151;3;5;2
Rua 1141;R$ 880.000;72;2;3;1
Rua 147;R$ 1.367.000;115;3;4;3
Rua 1141;R$ 3.850.000;299;5;6;0
Rua 1121;R$ 3.025.844;248;4;4;4
Rua 1128;R$ 937.400;80;3;3;1
Rua 135;R$ 2.149.000;216;4;6;21
Rua Mário Bittar;R$ 1.800.000;176;4;5;3
Rua 143;R$ 980.000;115;3;5;0
Rua 135;R$ 1.580.000;159;3;4;3
Rua 36;R$ 3.120.650;240;4;6;3
Rua 138;R$ 1.079.540;92;2;2;1
;R$ 1.490.000;334;4;1;3
Rua 1128;R$ 1.050.000;105;3;1;2
Rua 146;R$ 1.289.080;137;3;4;2
Rua 1128;R$ 1.179.970;116;3;4;2
Alameda Coronel Eugênio Jardim;R$ 4.220.510;293;4;6;4
Rua 30;R$ 1.750.002;152;3;4;2
Rua 1128;R$ 1.100.000;104;3;4;2
Rua 135;R$ 2.148.100;216;4;4;3
Rua 13;R$ 2.766.000;226;4;1;3
Rua 24;R$ 1.799.909;167;3;5;16
Rua 1141;R$ 2.170.000;186;3;4;2
Alameda Coronel Eugênio Jardim;R$ 2.900.000;244;3;4;4
Rua 148;R$ 3.649.500;411;4;6;4
Rua 32;R$ 2.959.470;220;4;5;3
Rua 1123;R$ 1.400.000;110;3;2;2
Rua 32;R$ 2.780.660;260;4;6;3
Rua 32;R$ 2.780.050;260;4;6;3
Rua 32;R$ 2.780.650;260;4;6;3
Rua 32;R$ 2.799.190;220;4;5;4
Rua 1128;R$ 1.739.440;149;3;4;3
Rua 147;R$ 1.206.000;115;3;4;1
Rua 13;R$ 2.404.433;211;4;6;3
Rua 30;R$ 2.781.340;211;3;5;3
Alameda Ricardo Paranhos;R$ 3.200.000;265;3;4;4
Rua 1128;R$ 1.100.000;10;3;4;2
Rua 1128;R$ 1.739.100;149;3;4;2
Rua 1127;R$ 3.390.000;265;4;6;3
Rua 1127;R$ 3.299.999;265;4;6;3
Alameda Ricardo Paranhos;R$ 3.357.310;248;3;5;3
Rua 138;R$ 2.195.350;217;4;5;3
Rua Mário Bittar;R$ 2.609.980;217;4;4;3
Avenida 136;R$ 2.100.000;285;4;4;3
Rua 1138;R$ 2.272.250;194;3;4;3
Rua 24;R$ 1.240.670;119;3;4;2
Rua 30;R$ 2.570.630;205;4;5;3
Alameda Ricardo Paranhos;R$ 4.220.280;302;4;6;4
Rua 1131;R$ 2.190.000;210;4;5;4
Rua 36;R$ 2.592.110;206;4;5;3
Rua 1138;R$ 3.019.490;259;3;4;2
Rua 1128;R$ 899.680;73;2;2;1
Rua Mário Bittar;R$ 2.610.380;217;3;4;3
Rua 1141;R$ 1.952.680;186;3;4;2
Rua 1123;R$ 1.290.000;110;3;4;2
Rua 145;R$ 990.000;135;3;1;3
Rua 146;R$ 1.900.000;150;3;4;2
Rua 25;R$ 1.680.000;158;3;4;3
Rua 1141;R$ 2.490.000;233;4;6;3
Rua 145;R$ 1.800.000;150;3;5;3
Rua 1141;R$ 1.600.000;177;3;5;3
Rua 1123;R$ 1.250.000;130;3;4;2
Rua 135;R$ 1.350.000;121;3;1;2
Rua 1138;R$ 3.099.690;259;4;5;4
Rua 1128;R$ 890.000;80;3;3;1
Rua 1128;R$ 1.680.000;162;3;5;3
Rua 1123;R$ 1.100.000;111;3;3;2
Rua T 53;R$ 399.000;45;1;1;1
Rua 1141;R$ 1.160.000;112;3;5;2
Rua 13;R$ 2.600.000;244;3;3;3
Rua 135;R$ 1.880.000;178;3;5;3
Rua 138;R$ 2.195.380;217;3;4;3
Rua 32;R$ 2.799.740;260;4;6;3
Avenida Mutirão;R$ 1.250.000;127;3;4;2
Rua 1141;R$ 1.990.000;260;4;4;3
Rua 1123;R$ 1.490.000;127;3;3;2
;R$ 2.200.000;182;3;5;3
Rua 148;R$ 3.980.000;307;3;5;4
Alameda Ricardo Paranhos;R$ 6.449.200;409;4;6;4
Rua 1141;R$ 940.000;67;2;2;1
Rua 148;R$ 1.990.000;242;4;6;3
Rua 135;R$ 2.350.000;216;3;4;3
Rua 147;R$ 1.368.000;115;3;1;2
Rua 1123;R$ 1.350.000;127;3;4;2
Viela 1140;R$ 860.000;72;2;3;1
Rua 145;R$ 1.950.000;153;3;5;2
Rua 1128;R$ 2.250.000;149;3;4;3
Rua 1138;R$ 4.175.000;292;4;2;4
Rua 1121;R$ 3.009.000;262;4;2;3
Viela 1140;R$ 3.180.000;260;3;4;4
Rua 30;R$ 2.053.336;165;3;5;2
Avenida D;R$ 900.000;79;2;3;1
Avenida 136;R$ 601.038;48;1;2;0
Rua 146;R$ 1.580.000;125;3;4;2
Rua 140;R$ 508.553;41;1;1;1
Rua 140;R$ 1.000.000;82;2;4;2
Rua 30;R$ 2.941.000;248;4;5;2
Rua 1128;R$ 803.973;72;2;2;2
Rua 28;R$ 6.794.214;560;5;9;5
Rua 146;R$ 1.650.000;128;3;4;2
Rua 1141;R$ 2.680.000;223;4;5;3
Rua 146;R$ 1.020.462;96;2;2;0
;R$ 1.790.000;150;3;5;2
;R$ 1.900.000;150;3;3;2
;R$ 4.600.000;306;4;6;5
;R$ 1.230.000;155;3;4;2
;R$ 1.180.000;111;3;5;2
;R$ 1.990.000;179;3;5;3
;R$ 2.200.000;208;3;4;3
;R$ 1.420.000;130;3;3;2
;R$ 4.689.000;317;4;6;4
;R$ 880.000;99;3;1;2
